controle_id,lote_producao_id,data_inspecao,inspetor_id,unidades_aprovadas,unidades_rejeitadas,motivo_rejeicao
1,21,2015-01-01,3,940,2,bolhas_material
2,65,2015-01-02,3,963,24,furo_incompleto
3,5,2015-01-03,1,937,15,dimensao_fora
4,33,2015-01-04,5,888,20,falha_superficie
5,19,2015-01-05,9,984,18,bolhas_material
6,98,2015-01-06,9,822,13,dimensao_fora
7,2,2015-01-07,7,895,7,furo_incompleto
8,82,2015-01-08,7,847,2,cor_incorreta
9,72,2015-01-09,7,884,11,falha_eletrica
10,38,2015-01-10,1,975,16,empacotamento_inadequado
11,7,2015-01-11,6,806,4,solda_fraca
12,51,2015-01-12,7,942,27,dimensao_fora
13,20,2015-01-13,7,971,19,furo_incompleto
14,55,2015-01-14,7,826,22,solda_fraca
15,86,2015-01-15,2,906,24,bolhas_material
16,56,2015-01-16,4,869,16,falha_eletrica
17,89,2015-01-17,7,925,13,falha_eletrica
18,94,2015-01-18,1,916,20,dimensao_fora
19,38,2015-01-19,9,814,3,solda_fraca
20,86,2015-01-20,8,993,23,cor_incorreta
21,38,2015-01-21,7,942,15,furo_incompleto
22,86,2015-01-22,4,845,25,empacotamento_inadequado
23,88,2015-01-23,7,834,10,falha_superficie
24,92,2015-01-24,9,960,21,bolhas_material
25,3,2015-01-25,6,803,18,empacotamento_inadequado
26,53,2015-01-26,2,887,4,falha_eletrica
27,65,2015-01-27,4,937,29,solda_fraca
28,4,2015-01-28,6,801,21,falha_superficie
29,73,2015-01-29,8,954,9,falha_superficie
30,14,2015-01-30,4,952,2,falha_eletrica
31,90,2015-01-31,5,974,20,cor_incorreta
32,25,2015-02-01,3,976,17,solda_fraca
33,74,2015-02-02,7,971,29,empacotamento_inadequado
34,74,2015-02-03,7,868,8,bolhas_material
35,32,2015-02-04,6,814,5,falha_eletrica
36,66,2015-02-05,3,983,23,bolhas_material
37,73,2015-02-06,7,972,11,empacotamento_inadequado
38,88,2015-02-07,2,830,27,dimensao_fora
39,67,2015-02-08,2,850,29,falha_eletrica
40,27,2015-02-09,1,941,3,solda_fraca
41,27,2015-02-10,7,972,20,cor_incorreta
42,2,2015-02-11,2,941,7,falha_eletrica
43,73,2015-02-12,6,832,12,empacotamento_inadequado
44,58,2015-02-13,8,859,28,furo_incompleto
45,34,2015-02-14,5,802,22,dimensao_fora
46,96,2015-02-15,8,973,5,falha_eletrica
47,69,2015-02-16,6,868,1,falha_superficie
48,59,2015-02-17,5,936,15,dimensao_fora
49,80,2015-02-18,8,832,27,falha_superficie
50,21,2015-02-19,7,895,27,dimensao_fora
51,9,2015-02-20,4,906,28,cor_incorreta
52,87,2015-02-21,2,912,25,dimensao_fora
53,31,2015-02-22,6,954,29,furo_incompleto
54,18,2015-02-23,6,833,11,bolhas_material
55,53,2015-02-24,2,964,28,empacotamento_inadequado
56,20,2015-02-25,7,860,13,furo_incompleto
57,78,2015-02-26,4,837,3,furo_incompleto
58,61,2015-02-27,2,961,0,furo_incompleto
59,11,2015-02-28,3,823,19,dimensao_fora
60,46,2015-03-01,1,861,14,solda_fraca
61,29,2015-03-02,4,871,28,dimensao_fora
62,9,2015-03-03,6,870,14,cor_incorreta
63,64,2015-03-04,7,888,12,empacotamento_inadequado
