lote_producao_id,ordem_producao_id,data_lote,quantidade_total
1,4,2015-02-22,959
2,99,2015-09-01,875
3,75,2016-02-15,800
4,76,2016-03-12,920
5,51,2016-05-16,821
6,47,2016-04-19,988
7,84,2015-03-15,829
8,26,2015-12-14,830
9,51,2015-04-03,805
10,62,2016-04-30,855
11,51,2016-09-14,875
12,67,2016-08-22,981
13,33,2015-03-24,916
14,73,2016-10-26,987
15,56,2016-03-25,888
16,91,2015-03-04,977
17,14,2016-01-29,891
18,98,2016-09-02,888
19,75,2015-04-15,919
20,47,2015-10-05,808
21,87,2015-02-21,952
22,23,2015-08-09,813
23,20,2016-01-16,869
24,85,2015-07-01,899
25,11,2016-07-14,991
26,92,2015-04-02,845
27,95,2015-01-04,927
28,82,2015-07-10,872
29,78,2015-06-23,902
30,91,2016-05-05,805
31,83,2016-01-11,975
32,22,2016-07-23,837
33,67,2016-03-09,847
34,34,2015-11-14,895
35,73,2016-11-09,890
36,51,2016-01-28,920
37,73,2015-08-22,882
38,8,2015-01-31,870
39,51,2016-11-10,920
40,54,2016-06-20,951
41,74,2015-01-11,952
42,48,2015-03-12,966
43,19,2016-12-31,995
44,53,2016-08-12,821
45,98,2015-04-02,920
46,8,2016-03-16,809
47,5,2016-12-24,912
48,20,2015-08-22,897
49,59,2015-04-29,916
50,35,2015-10-07,996
51,21,2015-12-12,858
52,64,2015-10-16,833
53,4,2015-04-10,809
54,46,2015-05-18,907
55,89,2016-08-02,825
56,11,2016-03-24,934
57,11,2015-11-16,928
58,1,2015-09-15,840
59,21,2016-07-11,825
60,72,2016-01-15,845
61,64,2016-08-11,834
62,42,2016-08-21,951
63,6,2015-08-14,953
64,73,2015-10-03,939
65,88,2016-04-06,895
66,23,2016-10-31,854
67,17,2015-09-24,875
68,16,2015-03-25,876
69,11,2016-02-09,817
70,88,2016-06-24,862
71,94,2015-05-27,927
72,7,2015-05-07,951
73,59,2015-12-16,909
74,53,2015-11-29,929
75,71,2016-01-27,909
76,89,2015-08-06,865
77,24,2016-02-04,808
78,11,2015-10-30,855
79,73,2016-06-21,855
80,42,2016-08-22,959
81,33,2016-01-15,844
82,9,2016-04-15,948
83,85,2015-08-24,982
84,83,2015-04-22,883
85,96,2015-04-07,932
86,20,2016-11-17,846
87,76,2016-08-10,985
88,82,2016-04-24,871
89,53,2016-02-28,829
90,82,2015-10-23,810
91,44,2015-11-24,894
92,47,2016-01-05,855
93,98,2015-01-26,810
94,17,2015-06-23,987
95,33,2015-03-12,826
96,37,2016-10-09,803
97,59,2015-06-06,847
98,34,2016-11-15,895
99,58,2015-02-16,992
100,78,2015-09-23,820
