id,receita_total,custos_variaveis,despesas_variaveis,custos_fixos,despesas_operacionais,juros,impostos,custo_ativo,valor_residual,vida_util_anos,custo_investimento,ativos_circulantes,passivos_circulantes,margem_contribuicao,ponto_equilibrio,lucro_bruto,lucro_liquido,depreciacao_anual,roi_percentual,capital_de_giro,data_registro
1,77528.52,27655.69,5185.72,5660.61,2348.62,221.21,2812.19,75437.19,4646.6,6.96,86614.63,66689.87,32139.92,31.41,24514.11,15628.17,8299.58,2473.48,14.31,10620.93,2015-01-01
2,69679.46,27136.08,7208.1,4219.93,2899.24,268.64,2611.46,75810.29,3966.72,7.62,131469.42,67294.03,25675.77,35.23,19815.48,15748.54,5160.58,1531.45,13.9,24312.94,2015-01-31
3,63262.33,18440.18,6592.57,4952.42,4129.47,360.07,1724.17,51128.58,3432.11,6.18,91185.19,45716.22,30782.32,49.01,24750.31,19165.78,6675.72,1039.18,8.96,12948.02,2015-03-02
4,66822.81,27778.45,7505.77,5833.1,2106.21,340.92,2786.22,66825.47,4014.38,6.39,145883.35,52341.19,24748.8,34.87,20196.19,11271.33,5996.29,1574.89,9.41,22559.48,2015-04-01
5,36879.32,18143.14,5026.76,4199.84,2640.39,220.43,2392.93,76332.11,3054.81,6.28,87460.47,61711.65,35485.63,36.21,20891.1,11387.65,9233.42,1775.69,9.99,14602.09,2015-05-01
6,59878.75,15265.04,6870.92,5408.28,2901.28,472.37,1631.13,77349.05,3863.41,5.91,88008.23,57883.78,20791.97,46.45,15092.52,10624.11,11910.31,2583.11,14.57,12011.89,2015-05-31
7,64233.38,29245.1,5505.36,5591.29,3887.66,255.6,1618.02,59886.84,4960.82,6.49,130215.64,50392.13,20382.5,36.68,24448.7,19596.5,9987.85,1248.36,14.22,14572.23,2015-06-30
8,58389.71,24205.92,5171.18,4269.66,4445.32,463.69,1023.1,74651.19,4409.26,6.39,143621.72,50410.25,35039.57,47.38,15484.36,9351.7,4855.48,1410.08,8.2,24379.47,2015-07-30
9,35331.47,28737.3,7376.0,5588.3,2611.23,355.58,1836.62,51424.05,4600.84,6.25,126960.81,69532.05,37175.6,41.12,18130.08,17384.31,7191.46,2487.78,14.47,18241.3,2015-08-29
10,30752.13,23955.43,6942.23,5768.62,4528.13,220.9,2748.63,66869.94,3503.69,6.13,139174.29,65072.72,37947.09,44.07,19180.11,10055.41,8619.33,2179.09,13.62,22850.91,2015-09-28
11,57129.49,16153.95,7535.33,4018.37,4942.48,464.79,2662.8,68295.06,4771.97,5.06,93272.38,53676.98,39438.76,35.18,16302.41,10823.11,11483.84,1742.11,10.26,16270.19,2015-10-28
12,71498.25,19027.61,7008.65,6439.45,4271.07,252.67,1591.13,74317.01,3254.57,7.57,94180.25,41205.57,34260.81,40.72,16855.7,13402.1,7514.45,1068.41,13.77,17495.47,2015-11-27
