venda_id,produto_id,quantidade_vendida,preco_unitario_venda,data_venda,cliente_id
1,1,865,56.62,2015-05-01,7
2,4,387,57.2,2015-02-23,9
3,5,636,58.92,2015-11-27,1
4,5,907,47.42,2015-09-18,4
5,5,787,32.53,2015-02-15,8
6,1,821,38.83,2016-07-03,5
7,5,687,48.75,2015-07-03,2
8,1,400,36.36,2016-03-13,6
9,4,397,47.02,2015-02-18,1
10,2,439,29.19,2015-11-14,2
11,3,863,51.12,2015-11-12,3
12,1,712,36.39,2015-07-13,3
13,4,654,26.5,2015-10-06,8
14,5,559,57.33,2016-11-24,7
15,5,757,26.06,2015-11-10,7
16,3,941,51.15,2015-10-03,1
17,1,326,40.14,2016-11-26,8
18,3,831,45.74,2015-06-28,6
19,3,620,37.41,2015-02-26,2
20,5,354,49.46,2015-05-23,3
