id,materia_prima,mao_obra_direta,custos_indiretos,estoque_inicial_elaboracao,estoque_final_elaboracao,estoque_inicial_acabados,estoque_final_acabados,unidades_produzidas,custo_total,custo_unitario,data_registro
1,15400.63,8926.13,2006.35,2187.12,5490.51,7799.07,8621.96,11235,28308.37,4.05,2015-01-01
2,21233.61,6781.31,3190.68,3304.81,5843.44,6021.94,8260.67,11409,31309.03,4.54,2015-01-31
3,22966.23,6171.22,2589.37,3511.56,5161.6,6891.05,8165.84,15167,47096.45,3.94,2015-03-02
4,16518.11,9230.54,2460.02,3074.03,5617.06,5390.64,8136.96,15531,26813.99,4.1,2015-04-01
5,11989.65,5351.3,4963.29,3014.41,4555.68,5301.8,8508.7,10097,48795.9,3.24,2015-05-01
6,16577.84,6373.28,2793.62,3829.19,5411.89,6407.63,9567.86,23306,37118.75,2.74,2015-05-31
7,13214.67,6565.45,3473.41,2990.59,4609.3,6754.04,9007.27,16795,33829.24,4.66,2015-06-30
8,12686.14,9405.43,2759.75,3004.93,4557.77,5604.42,8137.03,24026,33333.52,3.56,2015-07-30
9,14024.77,5099.3,2050.79,3258.24,4021.19,5972.39,9110.56,11528,43987.86,3.75,2015-08-29
10,10824.79,5022.8,4273.4,3704.91,4732.56,5910.78,9922.85,12927,39231.97,3.89,2015-09-28
11,10904.78,6191.29,4538.79,3609.31,4454.75,6821.49,8059.93,19630,33660.56,3.57,2015-10-28
12,21354.97,8006.76,4474.02,2093.64,4156.29,5665.14,9568.39,10625,44211.91,3.29,2015-11-27
