consumo_id,registro_id,material_id,lote_material_id,quantidade_consumida,data_registro
1,128318,1,44,13.7,2020-08-11
2,138657,4,140,48.83,2019-12-29
3,106773,8,6,26.25,2019-10-04
4,6102,1,123,32.79,2018-07-29
5,56156,10,168,0.28,2020-02-13
6,14533,2,36,14.68,2018-03-21
7,38336,1,26,48.66,2018-03-16
8,5354,9,21,10.12,2019-03-01
9,63890,7,155,33.77,2019-05-20
10,108288,7,170,28.19,2019-08-01
11,65622,9,5,13.39,2019-08-18
12,96646,2,158,34.0,2019-03-08
13,9216,8,172,42.07,2018-05-11
14,7666,9,66,36.55,2018-06-10
15,138078,5,41,17.3,2020-07-29
16,130922,2,193,21.12,2020-03-26
17,96949,4,113,45.07,2017-07-11
18,82846,7,35,21.43,2018-11-22
19,43249,5,95,22.01,2017-10-05
20,126757,5,166,35.48,2018-05-03
21,32909,5,84,8.31,2018-11-09
22,79124,8,51,47.49,2020-04-02
23,118397,6,83,6.51,2018-05-21
24,102190,6,197,44.35,2020-01-09
25,82278,9,38,29.9,2020-09-16
26,139582,10,184,8.97,2017-05-12
27,36305,1,129,5.69,2017-10-06
28,46954,7,149,36.59,2018-07-12
29,98721,9,38,7.64,2019-05-13
30,43506,5,199,38.45,2018-12-10
31,81735,6,6,20.19,2020-12-01
32,105375,8,62,37.06,2019-11-07
33,127491,1,142,26.16,2019-04-13
34,93719,10,34,8.37,2017-11-06
35,6104,7,65,11.94,2020-05-19
36,134451,2,136,17.07,2017-07-22
37,98188,10,28,5.67,2018-08-26
38,26834,1,19,17.09,2018-09-17
39,128213,7,65,22.56,2017-07-24
40,103098,8,103,23.44,2018-03-13
41,113274,9,200,7.51,2017-06-05
42,79619,3,42,23.9,2019-09-06
43,105827,10,168,1.75,2018-04-07
44,117375,9,169,42.68,2018-06-09
45,30212,10,40,29.15,2020-12-16
46,94712,5,103,29.9,2020-12-07
47,132826,8,55,17.23,2018-09-14
48,26045,2,61,17.04,2019-10-31
49,129967,1,92,30.68,2020-06-22
50,97405,7,30,19.82,2019-09-13
51,111027,9,115,16.74,2020-06-04
52,37712,1,101,29.73,2020-08-30
53,121935,1,198,30.8,2020-01-20
54,115392,2,146,22.59,2017-05-12
55,136691,9,91,7.11,2017-07-02
56,17135,10,174,23.77,2020-09-14
57,108146,1,183,26.25,2017-04-20
58,26248,5,110,14.86,2018-12-13
59,129711,8,23,47.11,2020-11-05
60,54736,8,152,48.93,2017-08-22
61,98291,8,40,4.28,2017-07-20
62,30656,7,83,42.65,2020-08-02
63,50066,1,165,39.53,2019-12-17
64,37239,2,51,18.22,2019-11-08
65,81826,1,61,18.62,2018-12-02
66,81552,7,15,22.89,2017-05-25
67,62246,3,137,43.1,2019-05-25
68,131196,10,34,17.1,2018-10-14
69,117628,7,76,2.52,2020-12-14
70,74479,8,121,9.82,2020-03-15
71,6383,7,74,3.11,2019-01-17
72,76125,7,110,33.08,2020-04-23
73,112974,6,133,42.61,2020-10-19
74,94829,2,191,34.46,2018-02-07
75,110990,6,30,35.3,2019-10-16
76,49577,10,65,17.01,2020-01-22
77,102434,5,32,29.41,2018-10-29
78,127378,7,17,27.05,2018-08-31
79,48248,1,168,38.36,2017-12-12
80,64812,7,159,28.94,2019-05-25
81,30635,6,147,31.48,2020-09-28
82,91336,3,135,22.47,2018-05-26
83,50001,8,42,43.47,2019-06-22
84,135170,9,104,24.98,2020-04-12
85,33106,10,98,37.67,2019-06-20
86,6945,7,186,39.51,2017-10-15
87,82675,2,158,36.68,2020-12-31
88,17982,5,163,42.0,2017-07-17
89,81140,1,19,4.49,2020-04-18
90,127285,8,109,23.97,2019-07-23
91,106959,1,156,4.63,2019-03-09
92,8485,8,64,4.31,2017-07-21
93,110418,7,14,6.49,2017-10-16
94,115079,4,150,41.42,2019-06-12
95,7090,3,3,28.32,2019-03-04
96,61256,9,65,48.8,2017-11-24
97,79684,4,1,21.21,2020-04-24
98,25212,6,34,45.72,2020-11-15
99,27544,1,65,23.58,2017-06-06
100,81411,10,115,38.91,2018-09-10
101,12769,1,157,36.45,2020-09-29
102,106551,9,108,14.82,2018-02-10
103,130557,2,43,12.14,2017-07-13
104,40704,8,120,44.08,2019-12-14
105,33561,9,116,25.91,2020-08-29
106,32199,5,60,30.46,2020-08-04
107,61201,3,97,34.38,2017-04-11
108,91174,4,44,31.87,2017-05-12
109,40432,5,111,14.68,2018-04-01
110,108360,5,94,20.6,2019-02-05
111,139342,2,41,4.39,2018-10-24
112,50104,7,64,23.38,2020-09-21
113,124363,6,90,12.28,2019-06-23
114,35450,1,34,18.36,2020-09-28
115,101550,10,168,20.53,2019-03-12
116,123949,5,122,26.61,2018-01-23
117,20909,6,106,2.55,2017-01-31
118,83234,9,10,36.11,2017-11-14
119,13451,7,153,22.21,2019-12-06
