id,nome,disponibilidade,performance,qualidade,oee,taxa_producao,capacidade_producao,eficiencia_linha,produtividade_mao_obra,data_registro
1,Equipamento Solda por Refusao,0.84,0.91,0.96,0.84,70.79,98.01,0.86,0.86,2017-01-01 00:00:00
2,Medidor Corrente,0.86,0.82,0.91,0.85,87.96,119.65,0.86,0.85,2017-01-01 01:00:00
3,Testador Circuito SMT,0.92,0.88,0.91,0.77,82.71,85.4,0.91,0.9,2017-01-01 02:00:00
4,Calibrador Robos,0.94,0.78,0.9,0.79,83.43,104.3,0.94,0.83,2017-01-01 03:00:00
5,Medidor Corrente,0.94,0.81,0.91,0.87,82.27,107.66,0.84,0.73,2017-01-01 04:00:00
6,Inspetor Visual Otico,0.83,0.87,0.91,0.78,81.24,90.14,0.82,0.82,2017-01-01 05:00:00
7,Calibrador Robos,0.87,0.89,0.97,0.84,72.15,87.82,0.89,0.88,2017-01-01 06:00:00
8,Calibrador Robos,0.9,0.92,0.95,0.76,97.55,113.25,0.88,0.73,2017-01-01 07:00:00
9,Testador Circuito SMT,0.92,0.89,0.95,0.87,83.17,99.04,0.83,0.87,2017-01-01 08:00:00
10,Equipamento Solda por Onda,0.94,0.84,0.99,0.75,70.08,114.44,0.84,0.7,2017-01-01 09:00:00
11,Scanner AOI,0.93,0.91,0.95,0.79,71.0,113.35,0.9,0.75,2017-01-01 10:00:00
12,Medidor Corrente,0.83,0.79,0.96,0.87,86.38,111.09,0.86,0.83,2017-01-01 11:00:00
13,Medidor Corrente,0.81,0.89,0.98,0.78,88.32,111.86,0.88,0.78,2017-01-01 12:00:00
14,Inspetor Visual Otico,0.81,0.8,0.95,0.75,93.27,93.49,0.87,0.81,2017-01-01 13:00:00
15,Equipamento Solda por Refusao,0.95,0.84,0.98,0.76,84.99,104.14,0.87,0.72,2017-01-01 14:00:00
16,Medidor Corrente,0.82,0.91,0.98,0.83,78.62,88.72,0.88,0.89,2017-01-01 15:00:00
17,Equipamento Solda por Onda,0.92,0.91,0.97,0.82,93.68,85.21,0.9,0.83,2017-01-01 16:00:00
18,Calibrador Robos,0.91,0.77,0.91,0.87,88.53,111.17,0.91,0.82,2017-01-01 17:00:00
19,Equipamento Solda por Refusao,0.83,0.76,0.92,0.76,75.63,102.26,0.81,0.89,2017-01-01 18:00:00
20,Equipamento Solda por Refusao,0.88,0.75,0.97,0.83,74.18,103.99,0.84,0.71,2017-01-01 19:00:00
21,Scanner AOI,0.83,0.87,0.91,0.89,83.39,118.27,0.82,0.86,2017-01-01 20:00:00
22,Equipamento Solda por Refusao,0.81,0.81,0.9,0.86,73.99,85.5,0.89,0.76,2017-01-01 21:00:00
23,Inspetor Visual Otico,0.86,0.76,0.95,0.87,80.54,82.22,0.87,0.78,2017-01-01 22:00:00
24,Equipamento Solda por Refusao,0.84,0.84,0.98,0.89,88.78,89.02,0.95,0.82,2017-01-01 23:00:00
25,Calibrador Robos,0.9,0.88,0.9,0.75,74.59,101.07,0.9,0.83,2017-01-02 00:00:00
26,Equipamento Solda por Refusao,0.94,0.82,0.92,0.87,85.32,105.25,0.93,0.71,2017-01-02 01:00:00
27,Testador Circuito SMT,0.81,0.89,0.93,0.78,81.91,108.93,0.93,0.72,2017-01-02 02:00:00
28,Equipamento Solda por Refusao,0.82,0.81,0.96,0.81,78.32,100.48,0.95,0.86,2017-01-02 03:00:00
29,Inspetor Visual Otico,0.84,0.77,0.92,0.87,80.32,81.68,0.93,0.8,2017-01-02 04:00:00
30,Testador Circuito SMT,0.93,0.76,0.93,0.79,73.56,98.98,0.91,0.86,2017-01-02 05:00:00
31,Equipamento Solda por Onda,0.84,0.92,0.96,0.87,87.39,100.27,0.93,0.74,2017-01-02 06:00:00
32,Testador Circuito SMT,0.89,0.89,0.95,0.9,72.65,106.56,0.86,0.77,2017-01-02 07:00:00
33,Scanner AOI,0.89,0.86,0.93,0.79,95.95,92.68,0.9,0.72,2017-01-02 08:00:00
34,Medidor Corrente,0.92,0.76,0.95,0.8,79.91,114.29,0.89,0.86,2017-01-02 09:00:00
35,Scanner AOI,0.86,0.91,0.92,0.77,99.69,94.58,0.85,0.73,2017-01-02 10:00:00
36,Equipamento Solda por Refusao,0.81,0.89,0.94,0.78,74.37,105.81,0.81,0.84,2017-01-02 11:00:00
37,Equipamento Solda por Refusao,0.82,0.82,0.96,0.82,75.37,107.21,0.85,0.89,2017-01-02 12:00:00
38,Testador Circuito SMT,0.93,0.77,0.98,0.78,77.87,116.14,0.83,0.72,2017-01-02 13:00:00
39,Equipamento Solda por Onda,0.81,0.83,0.91,0.75,99.31,104.23,0.9,0.9,2017-01-02 14:00:00
40,Inspetor Visual Otico,0.9,0.79,0.96,0.78,86.03,80.5,0.93,0.87,2017-01-02 15:00:00
41,Inspetor Visual Otico,0.85,0.89,0.97,0.88,78.16,108.22,0.88,0.71,2017-01-02 16:00:00
42,Calibrador Robos,0.86,0.76,0.97,0.77,70.2,82.3,0.85,0.72,2017-01-02 17:00:00
43,Scanner AOI,0.89,0.92,0.93,0.88,71.52,106.39,0.8,0.84,2017-01-02 18:00:00
44,Calibrador Robos,0.89,0.77,0.98,0.84,87.98,106.11,0.87,0.77,2017-01-02 19:00:00
45,Equipamento Solda por Refusao,0.81,0.9,0.98,0.85,75.67,84.24,0.8,0.74,2017-01-02 20:00:00
46,Equipamento Solda por Refusao,0.83,0.76,0.92,0.79,70.49,116.47,0.81,0.74,2017-01-02 21:00:00
47,Testador Circuito SMT,0.95,0.78,0.94,0.87,85.47,114.49,0.8,0.76,2017-01-02 22:00:00
48,Calibrador Robos,0.81,0.76,0.96,0.8,88.16,118.8,0.87,0.75,2017-01-02 23:00:00
49,Testador Circuito SMT,0.91,0.9,0.94,0.85,94.58,116.74,0.95,0.8,2017-01-03 00:00:00
50,Equipamento Solda por Refusao,0.81,0.88,0.94,0.78,71.88,103.26,0.95,0.78,2017-01-03 01:00:00
51,Medidor Corrente,0.94,0.75,0.97,0.77,89.95,94.75,0.92,0.79,2017-01-03 02:00:00
52,Inspetor Visual Otico,0.95,0.82,0.97,0.82,89.45,88.71,0.87,0.8,2017-01-03 03:00:00
