lote_id,material_id,fornecedor_id,data_recebimento,lote_fornecedor
1,5,11,2020-01-29,LoteForn_1
2,1,3,2018-10-16,LoteForn_2
3,6,2,2018-01-02,LoteForn_3
4,6,17,2020-11-18,LoteForn_4
5,1,7,2017-02-15,LoteForn_5
6,4,14,2017-05-13,LoteForn_6
7,5,7,2017-12-12,LoteForn_7
8,5,18,2020-04-25,LoteForn_8
9,3,18,2017-03-31,LoteForn_9
10,10,1,2017-11-22,LoteForn_10
11,7,18,2020-07-07,LoteForn_11
12,6,4,2020-10-21,LoteForn_12
13,1,9,2020-02-24,LoteForn_13
14,4,11,2019-12-14,LoteForn_14
15,2,16,2020-03-24,LoteForn_15
16,9,14,2020-09-13,LoteForn_16
17,8,11,2018-06-02,LoteForn_17
18,10,13,2017-11-21,LoteForn_18
19,1,19,2018-08-27,LoteForn_19
20,7,2,2019-04-05,LoteForn_20
21,6,10,2019-05-07,LoteForn_21
22,9,2,2019-01-12,LoteForn_22
23,6,18,2020-08-04,LoteForn_23
24,9,2,2017-02-21,LoteForn_24
25,7,8,2018-07-23,LoteForn_25
26,9,17,2017-05-01,LoteForn_26
27,9,15,2020-09-26,LoteForn_27
28,1,10,2018-12-15,LoteForn_28
29,8,4,2018-08-27,LoteForn_29
30,1,17,2020-03-07,LoteForn_30
31,5,5,2019-01-21,LoteForn_31
32,6,2,2020-02-08,LoteForn_32
33,2,15,2019-01-05,LoteForn_33
34,5,18,2017-10-03,LoteForn_34
35,9,6,2018-06-21,LoteForn_35
36,1,5,2018-11-19,LoteForn_36
37,8,7,2017-07-09,LoteForn_37
38,9,4,2019-11-19,LoteForn_38
39,1,4,2020-05-06,LoteForn_39
40,9,19,2019-03-14,LoteForn_40
41,2,19,2017-05-05,LoteForn_41
42,10,14,2018-09-22,LoteForn_42
43,10,18,2018-09-13,LoteForn_43
44,9,11,2020-08-30,LoteForn_44
45,6,15,2017-01-14,LoteForn_45
46,5,2,2020-06-16,LoteForn_46
47,2,16,2017-03-17,LoteForn_47
48,7,12,2020-06-27,LoteForn_48
49,10,4,2019-09-07,LoteForn_49
50,7,13,2017-12-25,LoteForn_50
51,5,5,2019-08-29,LoteForn_51
52,10,11,2020-07-13,LoteForn_52
53,3,17,2018-01-30,LoteForn_53
54,10,3,2019-11-19,LoteForn_54
55,9,11,2020-08-14,LoteForn_55
56,6,2,2020-02-04,LoteForn_56
57,10,1,2018-08-06,LoteForn_57
58,2,4,2018-02-25,LoteForn_58
59,5,16,2018-07-03,LoteForn_59
