id,materia_prima,mao_obra_direta,custos_indiretos,estoque_inicial_elaboracao,estoque_final_elaboracao,estoque_inicial_acabados,estoque_final_acabados,unidades_produzidas,custo_total,custo_unitario,data_registro
1,19150.39,12176.14,5165.92,3758.36,6015.02,9598.0,13576.6,26090,58678.17,4.39,2017-01-01
2,15666.9,12046.5,4144.89,3746.65,6707.83,6890.59,12815.29,16013,41692.72,2.51,2017-01-31
3,24613.86,12597.63,3053.6,5978.15,6165.9,7752.3,10880.73,34955,43006.34,3.27,2017-03-02
4,15992.39,8466.63,5266.75,5547.6,8058.07,6214.38,12966.4,34818,46863.67,4.46,2017-04-01
5,21389.56,14007.34,5321.83,5703.05,7595.63,9712.47,13331.02,34357,39588.2,2.55,2017-05-01
6,24637.96,8066.13,3308.78,3284.37,8134.88,7627.22,13558.31,18864,49005.59,4.77,2017-05-31
7,34655.61,14560.18,4436.24,5986.77,7010.18,8713.17,12856.7,16929,51143.88,3.16,2017-06-30
8,23157.63,9403.52,5952.93,5650.99,6652.93,9416.8,12182.12,32326,36053.92,4.53,2017-07-30
9,28960.81,11164.25,3279.5,5077.59,6085.26,9983.36,10220.63,34267,41628.62,3.83,2017-08-29
10,20969.07,8827.55,5899.36,4814.44,6641.66,6472.35,10044.04,28147,41410.63,3.46,2017-09-28
11,17804.87,10495.26,3737.72,3651.91,8223.56,8601.6,11098.14,24118,37775.43,3.98,2017-10-28
12,21446.27,7264.41,3266.11,4006.44,6531.49,7831.72,10988.03,15396,31709.32,3.33,2017-11-27
13,30392.0,10741.6,3879.03,4070.49,7241.6,8113.4,11270.91,17904,49100.07,4.58,2017-12-27
14,27399.52,9120.37,3694.34,4640.01,8615.75,7786.78,11540.14,32068,36311.42,3.1,2018-01-26
15,32166.08,14153.38,3892.06,3532.23,6277.6,6282.01,12088.94,15993,39489.37,3.22,2018-02-25
16,30346.07,11958.81,3547.42,5153.0,6433.86,7732.39,10149.72,25477,34082.54,3.13,2018-03-27
17,27234.09,7769.63,5452.85,4534.1,7583.67,7862.35,10989.09,20817,59753.15,3.09,2018-04-26
18,25961.69,12185.05,5271.85,4397.51,8770.52,9660.18,12593.31,20975,62750.79,4.73,2018-05-26
19,24310.13,11602.53,3082.03,3969.43,7740.76,9450.12,11866.52,29833,55741.15,3.64,2018-06-25
20,17112.89,11282.55,4551.34,5393.08,6148.3,6888.54,11830.04,26287,52716.32,2.68,2018-07-25
21,26616.18,14260.05,5631.77,5133.94,7258.26,9859.68,11667.36,21511,60464.36,4.71,2018-08-24
22,28508.28,9104.72,5847.56,3057.64,7524.63,6966.66,13224.14,34929,38942.7,3.94,2018-09-23
23,26324.66,9397.27,5281.41,4040.53,6365.26,9491.1,12781.64,26743,49418.94,4.11,2018-10-23
24,25124.89,8341.63,5725.35,3898.5,8434.47,9088.33,10656.74,17904,59738.39,4.19,2018-11-22
