custo_operacional_id,insumo,valor_unitario,unidade_medida,data_leitura
1,Agua de refrigeração,1.02,l,2017-01-01
2,Energia,2.83,l,2017-01-31
3,Agua de refrigeração,1.93,l,2017-03-02
4,Detergente Industrial,2.45,l,2017-04-01
5,Agua de refrigeração,0.93,l,2017-05-01
6,Lubrificante,5.97,l,2017-05-31
7,Agua de refrigeração,3.31,l,2017-06-30
8,Lubrificante,1.62,l,2017-07-30
9,Lubrificante,4.96,l,2017-08-29
10,Lubrificante,5.6,l,2017-09-28
11,Energia,1.02,l,2017-10-28
12,Lubrificante,4.69,l,2017-11-27
13,Agua de refrigeração,4.54,l,2017-12-27
14,Lubrificante,3.05,l,2018-01-26
15,Energia,1.77,l,2018-02-25
16,Detergente Industrial,5.19,l,2018-03-27
17,Agua de refrigeração,5.53,l,2018-04-26
18,Lubrificante,3.25,l,2018-05-26
19,Detergente Industrial,1.3,l,2018-06-25
20,Agua de refrigeração,2.72,l,2018-07-25
21,Lubrificante,5.21,l,2018-08-24
22,Agua de refrigeração,2.67,l,2018-09-23
23,Lubrificante,4.73,l,2018-10-23
24,Detergente Industrial,2.78,l,2018-11-22
25,Energia,3.85,l,2018-12-22
26,Detergente Industrial,4.36,l,2019-01-21
27,Agua de refrigeração,0.95,l,2019-02-20
28,Lubrificante,2.69,l,2019-03-22
29,Energia,1.62,l,2019-04-21
30,Energia,0.65,l,2019-05-21
31,Agua de refrigeração,2.75,l,2019-06-20
32,Agua de refrigeração,1.98,l,2019-07-20
33,Detergente Industrial,3.39,l,2019-08-19
34,Agua de refrigeração,2.24,l,2019-09-18
35,Detergente Industrial,2.37,l,2019-10-18
36,Agua de refrigeração,1.64,l,2019-11-17
37,Energia,4.85,l,2019-12-17
38,Lubrificante,5.61,l,2020-01-16
39,Detergente Industrial,2.22,l,2020-02-15
40,Energia,1.35,l,2020-03-16
41,Energia,4.9,l,2020-04-15
42,Agua de refrigeração,3.77,l,2020-05-15
43,Energia,5.22,l,2020-06-14
44,Lubrificante,4.39,l,2020-07-14
45,Energia,3.19,l,2020-08-13
46,Agua de refrigeração,4.11,l,2020-09-12
47,Detergente Industrial,2.22,l,2020-10-12
