custo_material_id,material_id,custo_unitario,data_compra,lote_material_id
1,5,4.53,2018-06-04,47
2,4,9.33,2017-03-06,131
3,1,8.84,2017-05-12,51
4,1,6.66,2020-08-17,84
5,4,7.99,2018-04-30,70
6,4,10.55,2020-05-16,83
7,2,8.63,2019-11-09,10
8,5,7.97,2020-06-27,47
9,5,9.14,2020-10-29,77
10,1,6.47,2017-01-21,65
11,1,5.95,2018-10-18,31
12,2,8.15,2017-11-08,15
13,2,9.77,2020-10-29,138
14,3,9.49,2018-08-23,123
15,4,8.32,2019-07-15,38
16,3,10.48,2018-03-02,96
17,4,5.37,2020-01-04,1
18,1,6.44,2019-01-03,85
19,5,9.26,2019-03-09,109
20,2,4.54,2018-06-23,132
21,5,4.74,2017-08-30,1
22,4,8.8,2017-04-17,85
23,5,7.73,2018-10-24,125
24,3,4.67,2018-06-06,105
25,2,10.69,2017-04-01,70
26,4,6.34,2020-01-05,69
27,1,9.96,2018-01-03,23
28,1,5.87,2019-05-25,81
29,5,4.35,2017-04-08,4
30,5,4.35,2018-09-27,59
31,1,8.35,2018-09-24,89
32,5,4.7,2018-01-22,143
33,5,5.76,2018-07-11,96
34,1,7.81,2020-10-18,76
35,4,7.98,2018-09-19,93
36,4,9.11,2018-07-06,107
37,1,8.72,2020-10-23,11
38,3,9.61,2017-12-23,3
39,2,7.87,2017-04-23,56
40,3,7.8,2017-10-13,54
41,5,5.25,2019-08-11,88
42,1,9.9,2020-07-08,81
43,2,4.73,2018-07-10,96
44,1,6.15,2019-03-22,10
45,3,6.9,2017-07-09,132
46,3,5.41,2019-02-24,101
47,5,9.76,2020-08-22,98
48,1,8.84,2019-11-26,63
49,2,5.56,2017-12-12,140
50,1,5.27,2020-02-17,52
51,5,6.67,2017-10-25,99
52,4,4.84,2017-01-16,4
53,5,6.82,2020-07-23,50
54,4,6.83,2019-05-15,130
55,2,5.26,2017-08-11,27
56,4,6.7,2018-06-16,20
57,3,7.33,2017-11-15,65
58,3,8.18,2018-10-18,55
59,5,7.4,2018-08-30,142
60,4,9.87,2020-03-03,8
