id,nome,area1,velocidade1,area2,velocidade2,massa,calor_especifico,delta_t,calor_transferido,data_registro
1,Pintura,0.38761143250715635,3.2169332653868175,0.3750751576389665,2.785674660459024,105.298309035605,0.9124346683094439,105.91524707433699,2759.824998093817,2021-01-01
2,Extrusao,0.3911427331713291,2.4310487608704214,0.337539022287186,2.5966296136739,131.75846383239832,1.1017789862351268,74.15647905190605,3140.034765449983,2021-01-02
3,Pintura,0.36581201029100113,3.2598879959301534,0.48565257918721727,3.2780892732082796,155.6099547576832,0.9860441949918368,55.15434134562311,1254.1454961236193,2021-01-03
4,Corte,0.4706688347034,2.118757764703319,0.4259180687918557,3.0766996845341237,157.28559003468644,1.0944142117453732,74.81138267759283,2975.000138253216,2021-01-04
5,Montagem,0.3120044880109819,2.841299348441767,0.45681742077245857,2.837308606463834,90.73785239406509,1.0617634188185192,114.74495379061355,3162.1033748762843,2021-01-05
6,Extrusao,0.5546528794432781,2.5279628567387475,0.5965347914199477,3.212937595821503,124.9226346377313,1.1774932192934728,85.2071913689058,2097.511654911764,2021-01-06
7,Montagem,0.32598033789168607,2.186296093563206,0.4944833550586234,3.188045634369364,63.10145923733066,0.9432884225130523,74.59520772059851,2001.3848027601057,2021-01-07
8,Corte,0.4541340396853203,2.0616694287029698,0.5114582067361045,2.185495045468489,122.13574663621552,0.9800820639128138,68.30946769880606,2092.2006993334153,2021-01-08
9,Pintura,0.3732315657692295,2.0936713232723005,0.3569235792097297,2.8398642392090485,143.14641204555483,1.0285189280002012,95.86582605808985,3415.4484248630065,2021-01-09
10,Montagem,0.3985552530899089,3.259398176814755,0.4096392447999022,2.8957963771207096,113.10749310152292,1.162129121094816,38.70417277182517,2294.829065602723,2021-01-10
11,Pintura,0.3372156591842898,2.5381854245284154,0.5882732561082588,2.4407590137458763,146.44705670158788,1.116561190853614,105.70186407440849,1184.7396854472436,2021-01-11
12,Corte,0.4003619348933819,3.070196083754924,0.45727257181390046,3.1166676037379415,146.24566225944795,1.0008952796038926,31.013450654464606,1340.1381393080198,2021-01-12
13,Corte,0.3719381052852653,2.5053027116971807,0.3784476427918574,2.3387325627637985,152.6880171288375,0.9997054475205327,31.321297974360725,1132.0688879344345,2021-01-13
14,Corte,0.5513776797762453,3.0731542740940414,0.4474631293389386,2.483439893512269,156.92462512068397,0.9516011913019471,116.72960506125243,2060.991913146482,2021-01-14
15,Corte,0.37519466286798014,3.243526001615641,0.4534256566992052,2.386042831210131,72.19776399638924,0.9928571964229205,39.447672296456005,2283.1000859450396,2021-01-15
16,Corte,0.35409692723932384,2.3842670915636326,0.34554203498740294,3.0334152176363824,102.96929728848204,1.1839643202002317,57.77976807899829,1875.0982292569752,2021-01-16
17,Pintura,0.3584102753084656,2.019687476619977,0.48469362913424985,2.5797495198576863,89.07048822207017,1.0835150892177416,101.17581391837494,2652.4629627658105,2021-01-17
18,Montagem,0.30442600046044105,2.3586321759392885,0.3761691386240714,2.857095093347553,109.86522562736702,1.18186904367332,50.4202747993742,984.7173264484566,2021-01-18
19,Montagem,0.3563807769341011,2.0518205902590556,0.5284428350756957,2.0429396694454662,86.4886622752686,1.159338229556845,45.05307943527948,2222.435423942842,2021-01-19
20,Montagem,0.3553693952248038,3.1424720449924672,0.4440028278363414,2.079933627549727,120.96925825787272,1.0630459558158574,111.26521986541145,3351.243025628902,2021-01-20
21,Corte,0.5534843926643538,2.7819668236887414,0.4579391545671776,3.135078561802477,131.62823365917802,1.1760961004870891,119.48239849153273,3117.23921664315,2021-01-21
22,Corte,0.37808361345901,3.1269844551661796,0.5934182048521552,2.1477642350319184,107.76116003500252,1.1425948339884247,43.560318065297146,1837.9487386631372,2021-01-22
23,Pintura,0.5265774982119459,2.776817934300086,0.5999661974851476,2.0770070522217416,102.1250670944823,1.196754588922197,110.95725381299864,2580.053881064463,2021-01-23
24,Corte,0.44161266882029593,2.509008365832944,0.5928698149751713,2.576533566191034,61.83204428368131,1.0100159954442658,69.24961808731634,2574.0003580172042,2021-01-24
25,Pintura,0.4267169221811644,2.4088877300143836,0.3182314266255604,2.202868418513678,68.05560416775465,1.078532619253999,93.81725092075456,2204.3223843480564,2021-01-25
26,Montagem,0.5730822222924259,2.106587280384551,0.30789649198775315,3.28800588581196,67.0558372001444,0.9247557054514681,86.8676377513971,3210.512669844127,2021-01-26
