custo_material_id,material_id,custo_unitario,data_compra,lote_material_id
1,5,9.45,2022-06-04,261
2,2,6.9,2021-03-06,234
3,5,10.6,2021-05-12,216
4,4,10.8,2024-08-17,66
5,5,14.82,2022-04-30,266
6,3,11.18,2024-05-16,129
7,2,10.66,2025-04-12,5
8,4,6.32,2023-11-09,7
9,1,14.52,2025-05-22,15
10,1,8.58,2024-06-27,126
11,5,9.15,2024-10-29,187
12,5,14.64,2021-01-21,162
13,1,10.72,2022-10-18,86
14,5,14.35,2021-11-08,162
15,5,11.77,2025-07-19,113
16,1,5.74,2024-10-29,210
17,4,14.67,2022-08-23,215
18,4,13.62,2023-07-15,2
19,1,14.72,2022-03-02,139
20,3,12.32,2025-02-25,131
21,2,8.46,2024-01-04,258
22,3,13.93,2023-01-03,282
23,5,11.25,2025-03-20,40
24,1,11.56,2023-03-09,24
25,2,10.14,2022-06-23,217
26,1,13.08,2025-09-20,275
27,3,12.4,2021-08-30,111
28,3,7.04,2021-04-17,239
29,5,13.51,2022-10-24,120
30,1,5.64,2024-11-15,229
31,2,6.81,2022-06-06,70
32,1,14.44,2021-04-01,108
33,5,5.1,2024-01-05,229
34,4,12.23,2022-01-03,130
35,5,8.03,2023-05-25,112
36,4,9.34,2025-08-01,106
37,2,8.98,2021-04-08,124
38,4,11.21,2022-09-27,74
39,3,5.76,2025-01-24,107
40,3,6.99,2022-09-24,121
41,5,11.71,2025-02-13,191
42,4,12.83,2025-10-12,224
43,1,11.38,2022-01-22,80
44,4,9.91,2022-07-11,198
45,3,11.74,2024-10-18,269
46,2,13.13,2022-09-19,201
47,4,5.36,2022-07-06,232
48,4,5.16,2024-10-23,291
49,2,5.91,2021-12-23,230
50,1,5.24,2021-04-23,26
51,3,12.42,2025-11-25,269
52,5,5.69,2021-10-13,277
53,2,14.82,2023-08-11,26
54,1,9.59,2024-07-08,93
55,3,10.0,2022-07-10,134
56,4,10.93,2023-03-22,55
57,4,13.23,2021-07-09,162
58,5,8.89,2023-02-24,84
59,2,11.27,2024-08-22,78
60,5,5.73,2025-01-16,192
61,3,14.65,2023-11-26,11
62,1,9.42,2021-12-12,240
63,1,5.81,2025-01-19,281
64,4,7.46,2024-02-17,275
65,3,12.95,2021-10-25,269
66,1,7.9,2025-06-30,14
67,2,14.81,2021-01-16,255
68,1,10.75,2025-01-26,84
69,3,5.18,2024-07-23,164
70,4,7.26,2023-05-15,149
71,3,14.48,2025-10-30,109
72,5,7.49,2021-08-11,227
73,1,14.48,2022-06-16,135
74,3,5.96,2025-05-28,186
75,5,9.35,2025-03-11,38
76,5,12.06,2021-11-15,53
77,3,5.06,2025-02-14,275
78,5,11.53,2022-10-18,44
79,2,5.31,2022-08-30,120
80,2,7.59,2024-03-03,101
81,3,8.5,2021-06-25,243
82,4,10.5,2021-03-29,201
83,5,11.16,2025-09-09,147
84,2,9.69,2022-03-24,241
85,3,10.29,2025-02-11,22
86,5,13.38,2022-04-16,17
87,2,6.31,2022-05-29,154
88,4,10.17,2025-04-25,74
89,5,5.85,2022-05-17,155
90,4,7.38,2024-02-28,15
91,1,14.82,2024-04-07,254
92,4,10.29,2021-07-22,276
93,2,10.56,2022-06-27,144
94,4,8.17,2023-10-12,195
95,5,7.07,2021-07-02,3
96,1,11.44,2025-04-18,104
97,1,8.1,2022-04-13,125
98,5,5.38,2024-02-23,198
99,5,12.46,2023-02-22,296
100,3,6.58,2024-10-09,76
